step,lt,err,locked,pred_x,pred_y,pred_z,true_x,true_y,true_z,drive_x,drive_y,drive_z,drive_xz
105,1.90176,0.0462283,1,-0.209854,-0.243703,-0.0706767,-0.215736,-0.191736,-0.0100468,-0.209854,-0.243703,-0.063609,0.0103822
106,1.91987,0.0452628,1,-0.214558,-0.262464,-0.0903351,-0.212992,-0.204477,-0.0375985,-0.214558,-0.262464,-0.0813016,0.0135675
107,1.93798,0.0450311,1,-0.222208,-0.284068,-0.105515,-0.213292,-0.219729,-0.0623351,-0.222208,-0.284068,-0.0949632,0.0164123
108,1.9561,0.0458906,1,-0.23288,-0.308133,-0.116148,-0.21653,-0.237389,-0.0838095,-0.23288,-0.308133,-0.104534,0.018934
109,1.97421,0.0482971,1,-0.246353,-0.334993,-0.121803,-0.222601,-0.257385,-0.10154,-0.246353,-0.334993,-0.109623,0.0210046
110,1.99232,0.0522233,1,-0.262888,-0.36412,-0.122343,-0.231409,-0.27964,-0.114992,-0.262888,-0.36412,-0.110109,0.0225138
111,2.01043,0.0566852,1,-0.281342,-0.394069,-0.116556,-0.242857,-0.304018,-0.123571,-0.281342,-0.394069,-0.1049,0.0229544
112,2.02854,0.0615495,1,-0.301626,-0.424128,-0.103217,-0.256828,-0.330266,-0.126628,-0.301626,-0.424128,-0.0928952,0.021793
113,2.04666,0.0670815,1,-0.323273,-0.453818,-0.0810649,-0.273168,-0.357951,-0.123476,-0.323273,-0.453818,-0.0729584,0.0183443
114,2.06477,0.0734165,1,-0.346367,-0.48232,-0.0504127,-0.291647,-0.386388,-0.113442,-0.346367,-0.48232,-0.0453714,0.0122229
115,2.08288,0.0799064,1,-0.370484,-0.506607,-0.0107636,-0.311926,-0.414577,-0.0959493,-0.370484,-0.506607,-0.00968726,0.00279142
116,2.10099,0.0855847,1,-0.394414,-0.524536,0.0357268,-0.333512,-0.44116,-0.0706388,-0.394414,-0.524536,0.0321541,-0.00986381
117,2.1191,0.0898255,1,-0.415728,-0.532704,0.0887259,-0.35572,-0.464422,-0.0375373,-0.415728,-0.532704,0.0798533,-0.0258201
118,2.13722,0.0917533,1,-0.433253,-0.528208,0.144398,-0.377654,-0.482372,0.002751,-0.433253,-0.528208,0.129958,-0.0437925
119,2.15533,0.0922183,1,-0.445431,-0.51062,0.200422,-0.398203,-0.492936,0.0488653,-0.445431,-0.51062,0.18038,-0.062492
120,2.17344,0.0906759,1,-0.451884,-0.481498,0.250977,-0.416102,-0.494263,0.0985863,-0.451884,-0.481498,0.22588,-0.0793889
121,2.19155,0.0853768,1,-0.450729,-0.442848,0.289077,-0.430029,-0.485117,0.14889,-0.450729,-0.442848,0.26017,-0.091207
122,2.20966,0.0782054,1,-0.442089,-0.398315,0.313928,-0.438764,-0.465256,0.196216,-0.442089,-0.398315,0.282535,-0.0971489
123,2.22778,0.0712675,1,-0.426425,-0.350799,0.325307,-0.441381,-0.435683,0.236943,-0.426425,-0.350799,0.292776,-0.0971033
124,2.24589,0.0653281,1,-0.405408,-0.30478,0.322502,-0.43742,-0.398616,0.267975,-0.405408,-0.30478,0.290252,-0.0915214
125,2.264,0.0615993,1,-0.379902,-0.263353,0.306379,-0.426996,-0.357162,0.287261,-0.379902,-0.263353,0.275741,-0.0814757
126,2.28211,0.0604177,1,-0.352137,-0.229153,0.280698,-0.410808,-0.314764,0.294084,-0.352137,-0.229153,0.252628,-0.0691909
127,2.30022,0.0605579,1,-0.323961,-0.203606,0.249079,-0.390035,-0.274603,0.289022,-0.323961,-0.203606,0.224171,-0.0564844
128,2.31834,0.0606773,1,-0.29731,-0.186726,0.213987,-0.366157,-0.239133,0.273642,-0.29731,-0.186726,0.192588,-0.0445343
129,2.33645,0.0605194,1,-0.272963,-0.176782,0.177271,-0.340744,-0.209875,0.250061,-0.272963,-0.176782,0.159544,-0.0338719
130,2.35456,0.0595323,1,-0.252596,-0.172101,0.140091,-0.315269,-0.187443,0.220521,-0.252596,-0.172101,0.126082,-0.0247705
131,2.37267,0.0584503,1,-0.235539,-0.172334,0.102381,-0.290982,-0.171743,0.187088,-0.235539,-0.172334,0.0921433,-0.0168804
