step,lt,err,locked,pred_x,pred_y,pred_z,true_x,true_y,true_z,drive_x,drive_y,drive_z,drive_xz
156,2.82547,0.0534993,1,-0.360572,-0.433522,0.0545612,-0.327285,-0.408159,-0.0281144,-0.360572,-0.433522,0.0491051,-0.0137713
157,2.84358,0.0589189,1,-0.370741,-0.437455,0.0774538,-0.340303,-0.427015,-0.0193906,-0.370741,-0.437455,0.0697084,-0.0201007
158,2.8617,0.0632104,1,-0.379452,-0.438382,0.100675,-0.354293,-0.444827,-0.00568387,-0.379452,-0.438382,0.0906074,-0.0267409
159,2.87981,0.0668794,1,-0.386447,-0.434751,0.124412,-0.368808,-0.460681,0.012899,-0.386447,-0.434751,0.11197,-0.033655
160,2.89792,0.0691813,1,-0.391186,-0.427291,0.146219,-0.383303,-0.473567,0.0359713,-0.391186,-0.427291,0.131597,-0.0400392
161,2.91603,0.0710917,1,-0.393155,-0.415275,0.165921,-0.397147,-0.482457,0.0628058,-0.393155,-0.415275,0.149329,-0.0456629
162,2.93414,0.0722269,1,-0.392273,-0.400303,0.181367,-0.409645,-0.486418,0.0923023,-0.392273,-0.400303,0.16323,-0.0498019
163,2.95226,0.0740668,1,-0.388418,-0.38203,0.193026,-0.420076,-0.484756,0.123005,-0.388418,-0.38203,0.173723,-0.0524822
164,2.97037,0.0762999,1,-0.381683,-0.362006,0.198835,-0.42776,-0.47715,0.153185,-0.381683,-0.362006,0.178951,-0.0531243
165,2.98848,0.0798011,1,-0.372101,-0.340682,0.199721,-0.432125,-0.463772,0.180991,-0.372101,-0.340682,0.179749,-0.0520215
166,3.00659,0.0830818,1,-0.361199,-0.320921,0.194304,-0.432784,-0.445324,0.204654,-0.361199,-0.320921,0.174874,-0.0491278
167,3.0247,0.0863278,1,-0.348835,-0.303256,0.183986,-0.429596,-0.42299,0.222701,-0.348835,-0.303256,0.165588,-0.0449265
168,3.04282,0.0888692,1,-0.336133,-0.28936,0.168295,-0.422691,-0.398293,0.234131,-0.336133,-0.28936,0.151465,-0.0395986
169,3.06093,0.0905397,1,-0.323244,-0.278715,0.150411,-0.41247,-0.372894,0.23851,-0.323244,-0.278715,0.135369,-0.0340336
170,3.07904,0.0909724,1,-0.31122,-0.272201,0.130035,-0.399558,-0.348376,0.235968,-0.31122,-0.272201,0.117031,-0.0283286
171,3.09715,0.0898228,1,-0.300485,-0.268338,0.109746,-0.384732,-0.326071,0.227108,-0.300485,-0.268338,0.0987711,-0.0230838
172,3.11526,0.0873536,1,-0.291371,-0.268417,0.0887404,-0.368837,-0.306954,0.212861,-0.291371,-0.268417,0.0798663,-0.0180995
173,3.13338,0.0835123,1,-0.284059,-0.270286,0.0688091,-0.352706,-0.291621,0.194329,-0.284059,-0.270286,0.0619282,-0.0136821
174,3.15149,0.0789601,1,-0.278454,-0.274974,0.0492144,-0.337096,-0.280322,0.172651,-0.278454,-0.274974,0.044293,-0.00959276
175,3.1696,0.073237,1,-0.274846,-0.281301,0.0316965,-0.322645,-0.273042,0.148906,-0.274846,-0.281301,0.0285268,-0.00609815
176,3.18771,0.0672035,1,-0.273169,-0.290284,0.0155508,-0.309856,-0.269588,0.124062,-0.273169,-0.290284,0.0139957,-0.00297359
177,3.20582,0.0604994,1,-0.273789,-0.300901,0.00218845,-0.299096,-0.26967,0.0989601,-0.273789,-0.300901,0.0019696,-0.000419421
178,3.22394,0.0544435,1,-0.276551,-0.313924,-0.00944793,-0.290607,-0.272969,0.0743218,-0.276551,-0.313924,-0.00850313,0.00182898
179,3.24205,0.0484636,1,-0.281331,-0.327724,-0.0176317,-0.284531,-0.279171,0.0507675,-0.281331,-0.327724,-0.0158685,0.00347223
180,3.26016,0.0443739,1,-0.287882,-0.343808,-0.0235383,-0.28093,-0.287995,0.0288432,-0.287882,-0.343808,-0.0211845,0.00474338
181,3.27827,0.0412818,1,-0.296103,-0.359953,-0.024953,-0.279808,-0.299198,0.00904502,-0.296103,-0.359953,-0.0224577,0.00517206
182,3.29638,0.0409459,1,-0.305792,-0.377427,-0.0227686,-0.281125,-0.312559,-0.00816001,-0.305792,-0.377427,-0.0204918,0.00487373
183,3.3145,0.0426795,1,-0.317027,-0.394019,-0.0151555,-0.284812,-0.327872,-0.0223179,-0.317027,-0.394019,-0.01364,0.0033633
